"","data","regional_id","regional","casos_acumulado","Casos.Estimado","t","Casos.Forecast","Casos.Lo.80","Casos.Hi.80","Casos.Lo.95","Casos.Hi.95","obitos_acumulado","Obitos.Estimado","Obitos.Forecast","Obitos.Lo.80","Obitos.Hi.80","Obitos.Lo.95","Obitos.Hi.95"
"74",2020-07-03,11002,"Café",632,631.670814621243,74,NA,NA,NA,NA,NA,11,11.2110479717408,NA,NA,NA,NA,NA
"75",2020-07-04,11002,"Café",632,652.711410691678,75,NA,NA,NA,NA,NA,11,11.2006951896947,NA,NA,NA,NA,NA
"76",2020-07-05,11002,"Café",640,650.157220360037,76,NA,NA,NA,NA,NA,11,11.1908513971213,NA,NA,NA,NA,NA
"77",2020-07-06,11002,"Café",642,656.904602928144,77,NA,NA,NA,NA,NA,11,11.1814914099515,NA,NA,NA,NA,NA
"78",2020-07-07,11002,"Café",666,657.066524725736,78,NA,NA,NA,NA,NA,11,11.1725913125232,NA,NA,NA,NA,NA
"79",2020-07-08,11002,"Café",679,682.168226411753,79,NA,NA,NA,NA,NA,11,11.1641283905924,NA,NA,NA,NA,NA
"80",2020-07-09,11002,"Café",688,694.777511680777,80,NA,NA,NA,NA,NA,11,11.1560810683068,NA,NA,NA,NA,NA
"81",2020-07-10,11002,"Café",717,702.94168958448,81,NA,NA,NA,NA,NA,11,11.1484288488526,NA,NA,NA,NA,NA
"82",2020-07-11,11002,"Café",750,733.675400577993,82,NA,NA,NA,NA,NA,11,11.1411522585118,NA,NA,NA,NA,NA
"83",2020-07-12,11002,"Café",762,768.688596802365,83,NA,NA,NA,NA,NA,12,11.1342460936089,NA,NA,NA,NA,NA
"84",2020-07-13,11002,"Café",771,779.863739941326,84,NA,NA,NA,NA,NA,14,12.3726600073857,NA,NA,NA,NA,NA
"85",2020-07-14,11002,"Café",843,787.770638218705,85,NA,NA,NA,NA,NA,15,14.648379479339,NA,NA,NA,NA,NA
"86",2020-07-15,11002,"Café",883,866.581680850368,86,NA,NA,NA,NA,NA,15,15.4696399390163,NA,NA,NA,NA,NA
"87",2020-07-16,11002,"Café",926,908.606434859256,87,NA,NA,NA,NA,NA,16,15.2506662873102,NA,NA,NA,NA,NA
"88",2020-07-17,11002,"Café",933,953.751458988244,88,NA,NA,NA,NA,NA,16,16.4833481614884,NA,NA,NA,NA,NA
"89",2020-07-18,11002,"Café",933,958.192329799216,89,NA,NA,NA,NA,NA,16,16.2636949889994,NA,NA,NA,NA,NA
"90",2020-07-19,11002,"Café",933,955.085539738824,90,NA,NA,NA,NA,NA,16,16.2507718701271,NA,NA,NA,NA,NA
"91",2020-07-20,11002,"Café",1013,952.361887902428,91,NA,NA,NA,NA,NA,18,16.2384943064653,NA,NA,NA,NA,NA
"92",2020-07-21,11002,"Café",1032,1039.8399530685,92,NA,NA,NA,NA,NA,22,18.716758468642,NA,NA,NA,NA,NA
"93",2020-07-22,11002,"Café",1128,1057.87310766555,93,NA,NA,NA,NA,NA,23,23.2695673927919,NA,NA,NA,NA,NA
"94",2020-07-23,11002,"Café",1202,1162.52135631035,94,NA,NA,NA,NA,NA,24,23.6684620010372,NA,NA,NA,NA,NA
"95",2020-07-24,11002,"Café",1233,1241.38997540087,95,NA,NA,NA,NA,NA,24,24.684704250285,NA,NA,NA,NA,NA
"96",2020-07-25,11002,"Café",1233,1271.35529967265,96,NA,NA,NA,NA,NA,24,24.4551870922527,NA,NA,NA,NA,NA
"97",2020-07-26,11002,"Café",1294,1266.62521457464,97,NA,NA,NA,NA,NA,25,24.4328856488954,NA,NA,NA,NA,NA
"98",2020-07-27,11002,"Café",1319,1331.00115129543,98,NA,NA,NA,NA,NA,26,25.6566400668516,NA,NA,NA,NA,NA
"99",2020-07-28,11002,"Café",1351,1354.52113504249,99,NA,NA,NA,NA,NA,27,26.6734646981093,NA,NA,NA,NA,NA
"100",2020-07-29,11002,"Café",1412,1386.08689861274,100,NA,NA,NA,NA,NA,26,27.6894599366621,NA,NA,NA,NA,NA
"101",2020-07-30,11002,"Café",1439,1450.28257628339,101,NA,NA,NA,NA,NA,27,26.2147511181061,NA,NA,NA,NA,NA
"102",2020-07-31,11002,"Café",1455,1475.89117675318,102,NA,NA,NA,NA,NA,27,27.6451566294496,NA,NA,NA,NA,NA
"103",2020-08-01,11002,"Café",1489,1489.31481717098,103,NA,NA,NA,NA,NA,27,27.4175793721847,NA,NA,NA,NA,NA
"104",2020-08-02,11002,"Café",1489,1523.27599301833,104,NA,NA,NA,NA,NA,27,27.3971188694734,NA,NA,NA,NA,NA
"105",2020-08-03,11002,"Café",1489,1519.04897966741,105,NA,NA,NA,NA,NA,27,27.3776610105165,NA,NA,NA,NA,NA
"106",2020-08-04,11002,"Café",1489,1515.34325367523,106,NA,NA,NA,NA,NA,27,27.3591566447465,NA,NA,NA,NA,NA
"107",2020-08-05,11002,"Café",NA,NA,107,1512.09452839593,1489.0591981165,1535.12985867536,1476.86503086066,1547.3240259312,NA,NA,27.3415594407726,26.5270146187178,28.1561042628275,26.0958206363862,28.587298245159
"108",2020-08-06,11002,"Café",NA,NA,108,1535.18905679186,1500.54515884465,1569.83295473907,1482.2057870693,1588.17232651441,NA,NA,27.7500529466773,26.4493463547717,29.0507595385828,25.7607938773356,29.739312016019
"109",2020-08-07,11002,"Café",NA,NA,109,1558.28358518779,1513.28514338596,1603.28202698961,1489.46440719824,1627.10276317734,NA,NA,28.1716632590299,26.4726391538007,29.8706873642592,25.5732301216949,30.770096396365
"110",2020-08-08,11002,"Café",NA,NA,110,1581.37811358372,1526.41679234014,1636.33943482729,1497.32202635607,1665.43420081136,NA,NA,28.5958440205411,26.5450645237797,30.6466235173026,25.4594474353771,31.7322406057051
"111",2020-08-09,11002,"Café",NA,NA,111,1604.47264197965,1539.63437424656,1669.31090971274,1505.3110686232,1703.6342153361,NA,NA,29.020528502901,26.6448407039631,31.3962163018389,25.3872275498872,32.6538294559148
"112",2020-08-10,11002,"Café",NA,NA,112,1627.56717037558,1552.79577044975,1702.33857030141,1513.21418227245,1741.92015847871,NA,NA,29.4453116974617,26.7612554514618,32.1293679434616,25.34040190212,33.5502214928034
"113",2020-08-11,11002,"Café",NA,NA,113,1650.66169877151,1565.82555801492,1735.49783952809,1520.91601787913,1780.40737966388,NA,NA,29.8701142362656,26.8883358525723,32.8518926199588,25.3098777237104,34.4303507488207
"114",2020-08-12,11002,"Café",NA,NA,114,1673.75622716744,1578.68064328627,1768.8318110486,1528.35066938403,1819.16178495084,NA,NA,30.2949205658849,27.022418822175,33.5674223095949,25.290061042897,35.2997800888729
"115",2020-08-13,11002,"Café",NA,NA,115,1696.85075556337,1591.33540144179,1802.36610968494,1535.4789470038,1858.22256412293,NA,NA,30.7197276383756,27.1610953429997,34.2783599337514,25.2772691991837,36.1621860775674
"116",2020-08-14,11002,"Café",NA,NA,116,1719.9452839593,1603.77437199529,1836.1161959233,1542.2772059652,1897.61336195339,NA,NA,31.1445348564438,27.3026974675246,34.9863722453629,25.2689516031542,37.0201181097333
"117",2020-08-15,11002,"Café",NA,NA,117,1743.03981235522,1615.98832973224,1870.09129497821,1548.73133752015,1937.3482871903,NA,NA,31.5693421030402,27.4460247064896,35.6926594995909,25.2632723268838,37.8754118791967
"118",2020-08-16,11002,"Café",NA,NA,118,1766.13434075115,1627.97202534365,1904.29665615866,1554.83331354333,1977.43536795898,NA,NA,31.9941493552273,27.5901867714164,36.3981119390382,25.2588698037851,38.7294289066695
"119",2020-08-17,11002,"Café",NA,NA,119,1789.22886914708,1639.72281787943,1938.73492041474,1560.5790950501,2017.87864324406,NA,NA,32.4189566085099,27.7345076508711,37.1034055661488,25.2547101659669,39.5832030510529
"120",2020-08-18,11002,"Café",NA,NA,120,1812.32339754301,1651.2398129347,1973.40698215133,1565.96731416626,2058.67948091976,NA,NA,32.8437638620072,27.8784642314913,37.8090634925231,25.2499933810468,40.4375343429677
